formula	moleculeIds	moleculeNames	SuperClass	Class	
C19H30O3	HMDB0000523|HMDB0000540|HMDB0000550|HMDB0002984|HMDB0013156|HMDB0013199|HMDB0014759|HMDB0040640	5-Androstene-3b,16b,17a-triol|5-Androstene-3b,16a,17a-triol|5-Androstenetriol|11-Hydroxyandrosterone|16-alpha-Hydroxyandrosterone|5-Androstene-3alpha-16b,17b-triol|Oxandrolone|[8]-Paradol	Lipids and lipid-like molecules	"Steroids and steroid derivatives;"	
C19H30O5	HMDB0038720|HMDB0040566|HMDB0040567	Dodecyl gallate|[6]-Gingerdiol 3-acetate|[6]-Gingerdiol 5-acetate	Lipids and lipid-like molecules	";Fatty Acyls"	
C19H30O5S	HMDB0002759|HMDB0006278|HMDB0013232|HMDB0062657	Androsterone sulfate|5a-Dihydrotestosterone sulfate|Etiocholanolone sulfate|Epiandrosterone Sulfate	Lipids and lipid-like molecules	"Steroids and steroid derivatives;"	
C19H30O7	HMDB0032841|HMDB0032842|HMDB0036822	5-Megastigmen-7-yne-3,9-diol 9-glucoside|5-Megastigmen-7-yne-3,9-diol 3-glucoside|(3S,7E,9S)-9-Hydroxy-4,7-megastigmadien-3-one 9-glucoside	Lipids and lipid-like molecules	"Fatty Acyls;"	
C19H30O8	HMDB0029772|HMDB0030370|HMDB0035212	Corchoionol C 9-glucoside|Citroside A|Sonchuionoside C	Lipids and lipid-like molecules	"Fatty Acyls;Prenol lipids"	
C19H32O3	HMDB0031379|HMDB0030960|HMDB0031091|HMDB0061646|HMDB0094643|HMDB0112090|HMDB0112096|HMDB0112100|HMDB0112070	Annosquamosin B|Obtusilactone A|3-Methyl-5-pentyl-2-furannonanoic acid|3-Methyl-5-propyl-2-furanundecanoic acid|3,4-Dimethyl-5-propyl-2-furandecanoic acid|5-Hexyl-3,4-dimethyl-2-furanheptanoic acid|3,4-Dimethyl-5-pentyl-2-furanoctanoic acid|5-Butyl-3,4-dimethyl-2-furannonanoic acid|5-Ethyl-3,4-dimethyl-2-furanundecanoic acid	Lipids and lipid-like molecules	"Prenol lipids;;Fatty Acyls"	
C19H34O2	HMDB0034381	Methyl linoleate	Lipids and lipid-like molecules	Fatty Acyls	
C19H34O3	HMDB0031060	(R)-2-Hydroxysterculic acid	Lipids and lipid-like molecules	Fatty Acyls	
C19H34O4	HMDB0031006|HMDB0031047|HMDB0031048|HMDB0031049	1-Acetoxy-2-hydroxy-16-heptadecen-4-one|Avocadyne 2-acetate|Avocadyne 1-acetate|Avocadyne 4-acetate	Lipids and lipid-like molecules	Fatty Acyls	
C19H36O2	HMDB0035575|HMDB0013622	4,6-Nonadecanedione|Nonadeca-10(Z)-enoic acid	Lipids and lipid-like molecules	";Fatty Acyls"	
C19H36O4	HMDB0011534|HMDB0011565|HMDB0031043|HMDB0031044|HMDB0031045	MG(0:0/16:1(9Z)/0:0)|MG(16:1(9Z)/0:0/0:0)|Avocadene 1-acetate|Avocadene 2-acetate|Avocadene 4-acetate	Lipids and lipid-like molecules	"Glycerolipids;Fatty Acyls"	
C19H37O6P	HMDB0007003	CPA(16:0/0:0)	Lipids and lipid-like molecules	Glycerophospholipids	
C19H38NO7P	HMDB0011471|HMDB0011501	LysoPE(0:0/14:1(9Z))|LysoPE(14:1(9Z)/0:0)	Lipids and lipid-like molecules	Glycerophospholipids	
C19H38O2	HMDB0037397|HMDB0000772|HMDB0000795|HMDB0004085|HMDB0034154|HMDB0035474|HMDB0035674|HMDB0035675|HMDB0038070	xi-17-Methyloctadecanoic acid|Nonadecanoic acid|Pristanic acid|Tuberculostearic acid|Methyl stearate|Isopropyl hexadecanoate|4-Hydroxy-6-nonadecanone|6-Hydroxy-4-nonadecanone|xi-16-Methyloctadecanoic acid	Lipids and lipid-like molecules	"Fatty Acyls;Prenol lipids"	
C19H38O4	HMDB0031074|HMDB0011533|HMDB0011564|HMDB0072873|HMDB0072844	Glycerol 1-hexadecanoate|MG(0:0/16:0/0:0)|MG(16:0/0:0/0:0)|MG(0:0/i-16:0/0:0)|MG(i-16:0/0:0/0:0)	Lipids and lipid-like molecules	"NA;Glycerolipids"	
C19H39NO3	HMDB0006752|HMDB0013654	Dihydroceramide|Palmitoyl Serinol 	Lipids and lipid-like molecules	";Fatty Acyls"	
C19H39O7P	HMDB0007849|HMDB0007853	LysoPA(0:0/16:0)|LysoPA(16:0/0:0)	Lipids and lipid-like molecules	Glycerophospholipids	
C19H40O3	HMDB0032112	1,2,4-Nonadecanetriol	Lipids and lipid-like molecules	Fatty Acyls	
C20H18O3	HMDB0062223|HMDB0125855	(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-Tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol|3-(5-hydroxy-2,2-dimethyl-2H-chromen-6-yl)-1-phenylprop-2-en-1-one	Other		
C20H22O2	HMDB0035443|HMDB0038543	(E,E)-1,6-bis(4-methoxyphenyl)-1,5-hexadiene|Longistylin A	Other		
C20H24N	HMDB0060931	2-ethyl-1,5-dimethyl-3,3-diphenylpyrrolinium (EDDP)	Other		
C20H24N2O6	HMDB0014545	Nisoldipine	Other		
C20H24O3	HMDB0031976|HMDB0033294|HMDB0040761|HMDB0061027	Methyl (9Z)-10'-oxo-6,10'-diapo-6-carotenoate|5-Methoxy-7-(4-hydroxyphenyl)-1-phenyl-3-heptanone|4'-Hydroxy-5,5'-diisopropyl-2,2'-dimethyl-3,4-biphenylquinone|2-hydroxyethinylestradiol	Lipids and lipid-like molecules	"Fatty Acyls;;Prenol lipids;Steroids and steroid derivatives"	
C20H26O2	HMDB0012794|HMDB0014855|HMDB0040644|HMDB0060092	4-Oxoretinal|Norethindrone|Juvocimene 2|all-trans-3,4-Didehydroretinoate	Lipids and lipid-like molecules	"Prenol lipids;Steroids and steroid derivatives;"	
C20H26O3	HMDB0006285|HMDB0012789|HMDB0034712|HMDB0035200|HMDB0035602|HMDB0036748|HMDB0039614|HMDB0040746|HMDB0041152	4-oxo-Retinoic acid|4-Oxo-13-cis-retinoate|Prexanthoperol|Yucalexin B5|Kahweol|Momilactone A|3,4,4'-Trihydroxy-5,5'-diisopropyl-2,2'-dimethylbiphenyl|12-Hydroxy-7-oxo-8,11,13-abietatrien-18-al|Methyl cis-p-coumarate 3-(3,7-dimethyl-2,6-octadienyl)	Lipids and lipid-like molecules	"Prenol lipids;"	
C20H26O4	HMDB0002121|HMDB0036749|HMDB0036753|HMDB0036755|HMDB0039613	Carnosol|Momilactone B|Yucalexin P15|Yucalexin P8|3,3',4,4'-Tetrahydroxy-5,5'-diisopropyl-2,2'-dimethylbiphenyl	Lipids and lipid-like molecules	"Prenol lipids;"	
C20H26O6	HMDB0013692|HMDB0032820|HMDB0034475|HMDB0036692|HMDB0036896|HMDB0036899|HMDB0036902|HMDB0037103|HMDB0040759|HMDB0041408|HMDB0041510|HMDB0059991	Secoisolariciresinol|Gibberellin Ga115|Hydroxyisonobilin|Heliangin|Gibberellin A19|Gibberellin A65|Gibberellin A38|Gibberellin A124|3-Oxo-6b-angeloyloxy-8b-hydroxy-7(11)-eremophilen-12,8-olide|Gibberellin A101|Gibberellin A98|5-(3'-Hydroxyphenyl)-gamma-valerolactone-3'-O-glucuronide	Lipids and lipid-like molecules	";Prenol lipids"	
C20H28O2	HMDB0001852|HMDB0002369|HMDB0006219|HMDB0012329|HMDB0012788|HMDB0012874|HMDB0036564|HMDB0036697|HMDB0036710|HMDB0036711|HMDB0038702|HMDB0041925|HMDB0061925	All-trans-retinoic acid|9-cis-Retinoic acid|13-cis-Retinoic acid|4-Oxoretinol|4-OH-Retinal|9,13-cis-Retinoate|Sugiol|ent-6,16-Kauradien-19-oic acid|Yucalexin B16|Yucalexin B7|Trilobinol|Metandienone|Dehydroabietic acid	Lipids and lipid-like molecules	"Prenol lipids;;Steroids and steroid derivatives"	
C20H28O3	HMDB0000344|HMDB0005079|HMDB0005832|HMDB0006254|HMDB0012451|HMDB0012452|HMDB0031773|HMDB0034630|HMDB0034631|HMDB0034691|HMDB0035710|HMDB0036147|HMDB0036725|HMDB0036747|HMDB0036750|HMDB0036762|HMDB0036812|HMDB0037233|HMDB0038885|HMDB0039442|HMDB0039484|HMDB0041056|HMDB0041057	2-Methoxyestradiol-3-methylether|15-Deoxy-d-12,14-PGJ2|6b-Hydroxymethandienone|4-Hydroxyretinoic acid|all-trans-5,6-Epoxyretinoic acid|all-trans-18-Hydroxyretinoic acid|Phytocassane E|(4Z,9a)-9-(3-Methyl-2-butenoyloxy)-4,10(14)-oplopadien-3-one|(4Z,9a)-9-Angeloyloxy-4,10(14)-oplopadien-3-one|Yucalexin B9|Cafestol|Furanojaponin|ent-17-Oxo-15-kauren-19-oic acid|ent-7-Oxo-8(14),15-pimaradien-19-oic acid|Momilactone C|ent-15-Oxo-16-kauren-19-oic acid|7-Oxo-8,15-isopimaradien-18-oic acid|Rosmaridiphenol|Trilobinone|ent-15,16-Epoxy-1(10),13(16),14-halimatrien-19-oic acid|Gibberellin A12 7-aldehyde|Phytocassane A|Phytocassane D	Lipids and lipid-like molecules	"Steroids and steroid derivatives;Fatty Acyls;Prenol lipids;"	
C20H28O4	HMDB0002358|HMDB0004031|HMDB0012851|HMDB0030103|HMDB0030136|HMDB0031374|HMDB0031375|HMDB0035637|HMDB0036146|HMDB0036623|HMDB0036700|HMDB0036726|HMDB0036761|HMDB0038966|HMDB0062410	Carnosic acid|11b-Hydroxyprogesterone|7'-Carboxy-gamma-tocotrienol|Hulupone|Adhulupone|(1(10)E,4E,6a,9b)-9-(2-Methylbutanoyloxy)-1(10),4,11(13)-germacratrien-12,6-olide|(1(10)E,4E,6a,9b)-9-(3-Methylbutanoyloxy)-1(10),4,11(13)-germacratrien-12,6-olide|Petasitin|6-Angeloylfuranofukinol|4-Deoxycohumulone|ent-7alpha,12beta-Dihydroxy-16-kauren-19,6beta-olide|ent-15-Kaurene-17,19-dioic acid|7,18-Dihydroxykaurenolide|(9Z,11S,16S)-1-Acetoxy-9,17-octadecadiene-12,14-diyne-11,16-diol|5,6-epoxy,18R-HEPE	Lipids and lipid-like molecules	"Prenol lipids;Steroids and steroid derivatives;;Fatty Acyls"	
C20H30O	HMDB0000305|HMDB0006216|HMDB0006217|HMDB0006221|HMDB0030403|HMDB0034735|HMDB0036728|HMDB0036841|HMDB0038709	Vitamin A|11-cis-Retinol|9-cis-Retinol|13-cis Retinol|(x)-p-Menth-1-en-4-yl 5-isopropyl-2-methylphenyl ether|Abietinal|ent-16-Kauren-19-al|ent-19-Trachylobanal|8,13-Abietadien-18-al	Lipids and lipid-like molecules	Prenol lipids	
C20H30O2	HMDB0001999|HMDB0003598|HMDB0015655|HMDB0035692|HMDB0036703|HMDB0036709|HMDB0036775|HMDB0036805|HMDB0036811|HMDB0036826|HMDB0038172|HMDB0038687|HMDB0039486|HMDB0041928	Eicosapentaenoic acid|Retinyl ester|Methyltestosterone|8,15-Isopimaradien-18-oic acid|Siderone|Yucalexin B14|Yucalexin A16|8(17),12-Labdadiene-15,16-dial|Isopimaric acid|Cascarillone|8,13-Abietadien-18-oic acid|(ent-15beta,16beta)-15,16-Epoxy-3-kauranone|ent-8(17),13(16),14-Labdatrien-18-oic acid|Methenolone	Lipids and lipid-like molecules	"Fatty Acyls;Prenol lipids;Steroids and steroid derivatives;"	
C20H30O3	HMDB0001337|HMDB0005081|HMDB0006027|HMDB0010209|HMDB0010210|HMDB0010212|HMDB0010217|HMDB0010205|HMDB0010202|HMDB0012534|HMDB0012611|HMDB0013633|HMDB0030101|HMDB0035116|HMDB0035311|HMDB0036698|HMDB0036706|HMDB0036712|HMDB0036713|HMDB0036724|HMDB0036752|HMDB0036776|HMDB0036806|HMDB0036839|HMDB0036930|HMDB0037523|HMDB0038521|HMDB0039012|HMDB0039716|HMDB0041058|HMDB0060053|HMDB0061114|HMDB0062222|HMDB0062293|HMDB0062296|HMDB0062408|HMDB0137419	Leukotriene A4|5-HEPE|Oxymesterone|15-HEPE|15-KETE|17,18-EpETE|5-KETE|14,15-EpETE|12-HEPE|11R-HEPE|18R-HEPE|12-KETE|Methyl [8]-Shogaol|(ent-7alpha)-7-Hydroxy-8(14),15-pimaradien-19-oic acid|Galanal A|Ineketone|Steviol|Yucalexin B20|Yucalexin B22|ent-17-Hydroxy-15-kauren-19-oic acid|Yucalexin P17|Yucalexin A19|Aframodial|(ent-15beta)-15-Hydroxy-19-trachylobanoic acid|Grandiflorolic acid|Galanolactone|2-Hydroxy-6-(8-tridecenyl)benzoic acid|(ent-15beta)-15,19-Dihydroxy-7-trachylobanone|12alpha-12-Hydroxy-7,13-abietadien-18-oic acid|Phytocassane C|9-HEPE|Atractyligenin|18R-hydroxy-5Z,8Z,11Z,14Z,16E-eicosapentaenoic acid|15R-hydroxy-5Z,8Z,11Z,13E,17Z-eicosapentaenoic acid|15S-hydroxy-5Z,8Z,11Z,13E,17Z-eicosapentaenoic acid|5S-hydroxy-6E,8Z,11Z,14Z,17Z-eicosapentaenoic acid|(4E)-1-(3,4-dihydroxyphenyl)tetradec-4-en-3-one	Lipids and lipid-like molecules	"Fatty Acyls;Steroids and steroid derivatives;;Prenol lipids"	
C20H30O4	HMDB0001244|HMDB0002710|HMDB0002752|HMDB0004234|HMDB0004236|HMDB0004238|HMDB0005073|HMDB0012824|HMDB0012850|HMDB0035286|HMDB0035878|HMDB0036760|HMDB0036763|HMDB0036828|HMDB0041055|HMDB0060054|HMDB0060095|HMDB0060046|HMDB0062298|HMDB0062423|HMDB0062486	15-Keto-13,14-dihydroprostaglandin A2|Prostaglandin J2|Prostaglandin A2|12-Keto-leukotriene B4|Prostaglandin B2|Delta-12-Prostaglandin J2|Leukotriene B5|5-Oxo-6-trans-leukotriene B4|7'-Carboxy-gamma-chromanol|Crispanone|8alpha-8-Hydroxy-12-oxo-13-abieten-18-oic acid|(ent-16betaOH)-16,17-Dihydroxy-9(11)-kauren-19-oic acid|(ent-6alpha,7alpha)-6,7-Dihydroxy-16-kauren-19-oic acid|Dehydropinifolic acid|Phytocassane B|bicyclo-PGE2|Prostaglandin-c2|15d PGD2|15-deoxy-PGD2|5-oxo-12-HETE|5,12-dihydroxy-6,8,10,14,17-eicosapentaenoic acid	Lipids and lipid-like molecules	"Fatty Acyls;;Prenol lipids"	
C20H30O5	HMDB0002341|HMDB0002664|HMDB0003034|HMDB0003175|HMDB0010410|HMDB0012552|HMDB0012588|HMDB0012590|HMDB0012641|HMDB0013040|HMDB0036701|HMDB0037593|HMDB0038693|HMDB0060096|HMDB0062297|HMDB0062300|HMDB0062616	8-iso-15-keto-PGE2|Prostaglandin E3|Prostaglandin D3|15-Keto-prostaglandin E2|Resolvin E1|12-Oxo-20-hydroxy-leukotriene B4|15-Epi-lipoxin B5|15-Oxo-lipoxin A4|20-oxo-leukotriene B4|PGH3|(ent-6alpha,7alpha,12alpha)-6,7,12-Trihydroxy-16-kauren-19-oic acid|Oryzalic acid A|Oryzalic acid B|5,12,18R-TriHEPE|9S-hydroxy-11,15-dioxo-5Z,13E-prostadienoic acid|15-oxo-5S,6R-dihydroxy-7E,9E,11Z,13E-eicosatetraenoic acid|(5S)-hydroperoxy-18-hydroxy-EPE	Lipids and lipid-like molecules	"Fatty Acyls;Prenol lipids;"	
C20H31NO	HMDB0014520	Trihexyphenidyl	Other		
C20H32N6O12S2	HMDB0003337	Oxidized glutathione	Other		
C20H32O2	HMDB0036721|HMDB0001043|HMDB0002177|HMDB0006036|HMDB0014996|HMDB0036702|HMDB0036754|HMDB0036829|HMDB0036830|HMDB0037824|HMDB0039687|HMDB0039702	ent-17-Hydroxy-16beta-kauran-19-al|Arachidonic acid|Cis-8,11,14,17-Eicosatetraenoic acid|Mesterolone|Drostanolone|Sideridiol|Yucalexin P21|Copalic acid|Junicedral|7,13-Eperudien-15-oic acid|Oryzalexin S|Oryzalexin E	Lipids and lipid-like molecules	"Prenol lipids;Fatty Acyls;Steroids and steroid derivatives;"	
C20H32O3	HMDB0006111|HMDB0002190|HMDB0002232|HMDB0002283|HMDB0003876|HMDB0004264|HMDB0004673|HMDB0004679|HMDB0004680|HMDB0004682|HMDB0005998|HMDB0006245|HMDB0010222|HMDB0010409|HMDB0011134|HMDB0011136|HMDB0012508|HMDB0012567|HMDB0012598|HMDB0036262|HMDB0036705|HMDB0036810|HMDB0038520|HMDB0038688|HMDB0038689|HMDB0038694|HMDB0060101|HMDB0062287|HMDB0062294|HMDB0062302|HMDB0062431|HMDB0062433|HMDB0112071|HMDB0112068	12-HETE|5,6-Epoxy-8,11,14-eicosatrienoic acid|8,9-Epoxyeicosatrienoic acid|14R,15S-EpETrE|15(S)-HETE|14,15-Epoxy-5,8,11-eicosatrienoic acid|11,12-Epoxyeicosatrienoic acid|8-HETE|16(R)-HETE|11(R)-HETE|20-Hydroxyeicosatetraenoic acid|18-Hydroxyarachidonic acid|9-HETE|11,12-EpETrE|5-HETE|19(S)-HETE|10-HETE|13-HETE|17-HETE|Annoglabasin E|Ucriol|8alpha,13R-Epoxy-14-labden-19-oic acid|2-Hydroxy-6-tridecylbenzoic acid|(ent-2alpha,3beta,15beta,16beta)-15,16-Epoxy-2,3-kauranediol|(ent-2alpha,3beta,15beta)-16-Kaurene-2,3,15-triol|Crispane|12 Hydroxy arachidonic acid|12S-hydroxy-5E,8Z,10Z,14Z-eicosatetraenoic acid|15R-hydroxy-5Z,8Z,11Z,13E-eicosatetraenoic acid|18-Hydroxy-5Z,8Z,11Z,14Z-eicosatetraenoic acid|7-HETE|8-hydroxy-5Z,9E,11Z,14Z-eicosatetraenoic acid|12,15-Epoxy-13,14-dimethyloctadeca-12,14,16-trienoic acid|12,15-Epoxy-13,14-dimethyloctadeca-10,12,14-trienoic acid	Lipids and lipid-like molecules	"Fatty Acyls;Prenol lipids;"	
C20H32O4	HMDB0001085|HMDB0001193|HMDB0002236|HMDB0002656|HMDB0002982|HMDB0004243|HMDB0004244|HMDB0004688|HMDB0004690|HMDB0004692|HMDB0004693|HMDB0004696|HMDB0004699|HMDB0005050|HMDB0005087|HMDB0005088|HMDB0005089|HMDB0010211|HMDB0010216|HMDB0010219|HMDB0010204|HMDB0011135|HMDB0012498|HMDB0012839|HMDB0034686|HMDB0039171|HMDB0039441|HMDB0060103|HMDB0060104|HMDB0060105|HMDB0062409|HMDB0062479|HMDB0062614|HMDB0062615|HMDB0062619|HMDB0062687|HMDB0062688|HMDB0062749	Leukotriene B4|5(S)-Hydroperoxyeicosatetraenoic acid|8-iso-PGA1|Prostaglandin A1|Prostaglandin B1|12(S)-HPETE|15(S)-HPETE|Hepoxilin A3|Hepoxilin B3|12(R)-HPETE|11H-14,15-EETA|11(R)-HPETE|8(S)-HPETE|15H-11,12-EETA|6-trans-Leukotriene B4|6-trans-12-epi-Leukotriene B4|12(S)-Leukotriene B4|17,18-DiHETE|5,15-DiHETE|8,15-DiHETE|14,15-DiHETE|5-HPETE|10,11-dihydro-12-oxo-LTB4|6,7-dihydro-5-oxo-12-epi-LTB4|(14S)-14,15-Dihydroxy-8(17),13(16)-labdadien-19-oic acid|9alpha-(3-Methylbutanoyloxy)-4S-hydroxy-10(14)-oplopen-3-one|ent-1(10)-Halimene-15,19-dioic acid|9-Deoxy-delta12-PGD2|Prostaglandin C1|12,20-DiHETE|5,12-dihydroxy-6,8,10,14-eicosatetraenoic acid|10-hydroxy-11S,12S-epoxy-5Z,8Z,14Z-eicosatrienoic acid|5,20-DiHETE|5(S),11(R)-DiHETE|(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoic Acid|8,20-DiHETE|15-HPETE|5(S),15(R)-DiHETE	Lipids and lipid-like molecules	"Fatty Acyls;;Prenol lipids"	
C20H32O8	HMDB0036855	Cincassiol B	Lipids and lipid-like molecules	Prenol lipids	
C20H34O	HMDB0035083|HMDB0035276|HMDB0036723|HMDB0036834|HMDB0039827	(3S,6E,10E)-1,6,10,14-Phytatetraen-3-ol|8alpha-13(16),14-Labdadien-8-ol|(ent-16alpha)-16-Kauranol|18-Deoxysagittarol|Serratol	Lipids and lipid-like molecules	Prenol lipids	
C20H34O2	HMDB0002925|HMDB0010378|HMDB0031058|HMDB0036835|HMDB0060039	8,11,14-Eicosatrienoic acid|5,8,11-Eicosatrienoic acid |Sciadonic acid|Sagittariol|11,14,17-Eicosatrienoic acid	Lipids and lipid-like molecules	"Fatty Acyls;Prenol lipids"	
C20H34O3	HMDB0005045|HMDB0036802|HMDB0060052|HMDB0061645|HMDB0061647|HMDB0062290|HMDB0062747|HMDB0112091|HMDB0112104	15(S)-Hydroxyeicosatrienoic acid|Austroinulin|8-HETrE|3,4-Dimethyl-5-pentyl-2-furannonanoic acid|3,​4-​Dimethyl-​5-​propyl-2-​furanundecanoic acid|12R-hydroxy-5Z,8Z,12Z-eicosatrienoic acid|12(S)-HETrE|5-Heptyl-3,4-dimethyl-2-furanheptanoic acid|5-Hexyl-3-methyl-2-furannonanoic acid	Lipids and lipid-like molecules	"Fatty Acyls;Prenol lipids"	
C20H34O4	HMDB0002265|HMDB0002311|HMDB0002314|HMDB0002343|HMDB0002995|HMDB0012504|HMDB0012838|HMDB0035379|HMDB0060106	14,15-DiHETrE|8,9-DiHETrE|11,12-DiHETrE|5,6-DHET|12-Keto-tetrahydro-leukotriene B4|10,11-dihydro-leukotriene B4|6,7-dihydro-12-epi-LTB4|Sterebin E|15-Hydroperoxyeicosa-8Z,11Z,13E-trienoate	Lipids and lipid-like molecules	"Fatty Acyls;Prenol lipids"	
C20H34O8	HMDB0034159	Acetyl tributyl citrate	Other		
C20H36O2	HMDB0005060|HMDB0036827|HMDB0061864|HMDB0062432	Eicosadienoic acid|Sclareol|Dihomo-linoleate (20:2n6)|8Z,11Z-eicosadienoic acid	Lipids and lipid-like molecules	"Fatty Acyls;Prenol lipids"	
C20H36O3	HMDB0029797|HMDB0034957|HMDB0034958	(Z)-15-Oxo-11-eicosenoic acid|(13R,14R)-8-Labdene-13,14,15-triol|(13R,14R)-7-Labdene-13,14,15-triol	Lipids and lipid-like molecules	"Fatty Acyls;Prenol lipids"	
C20H38O11	HMDB0029925|HMDB0033370	Methyl cellulose|Ethyl cellulose	Other		
C20H38O12	HMDB0032799	(R)-1-O-[b-D-Glucopyranosyl-(1->6)-b-D-glucopyranoside]-1,3-octanediol	Lipids and lipid-like molecules	Fatty Acyls	
C20H38O2	HMDB0035572|HMDB0035573|HMDB0035574|HMDB0002231|HMDB0034296|HMDB0034451|HMDB0035159|HMDB0037127|HMDB0062436	6,8-Icosanedione|5,7-Icosanedione|4,6-Icosanedione|Eicosenoic acid|11-Eicosenoic acid|Ethyl oleate|Paullinic acid|Oleyl acetate|9Z-eicosenoic acid	Lipids and lipid-like molecules	";Fatty Acyls"	
C20H38O5	HMDB0005076	13,14-Dihydro PGF-1a	Lipids and lipid-like molecules	Fatty Acyls	
C20H38O7S	HMDB0032386	2-Methylacetophenone	Lipids and lipid-like molecules	Fatty Acyls	
C20H39NO	HMDB0032740	N-Hexadecanoylpyrrolidine	Other		
C20H40N2O8	HMDB0029949	Pangamic acid	Other		
C20H40O2	HMDB0000417|HMDB0000553|HMDB0000801|HMDB0002212|HMDB0031318|HMDB0034156|HMDB0035672|HMDB0035673|HMDB0062520	3D,7D,11D-Phytanic acid|3L,7D,11D-Phytanic acid|Phytanic acid|Arachidic acid|2,2,6,10,14-Pentamethylpentadecanoic acid|Ethyl stearate|5-Hydroxy-7-eicosanone|4-Hydroxy-6-eicosanone|3,7R,11R,15-tetramethyl-hexadecanoic acid	Lipids and lipid-like molecules	"Prenol lipids;Fatty Acyls"	
C20H41NO3	HMDB0015638	Ethanolamine Oleate	Other	NA	
C20H42NO7P	HMDB0011472|HMDB0011502	LysoPE(0:0/15:0)|LysoPE(15:0/0:0)	Lipids and lipid-like molecules	Glycerophospholipids	
C21H19I4NO10	HMDB0010326	Thyroxine glucuronide	Other		
C21H26N2O2	HMDB0030358	Aspidospermatine	Other		
C21H26N2OS2	HMDB0015068	Mesoridazine	Other		
C21H26O2	HMDB0015446|HMDB0015668|HMDB0060487	Mestranol|Gestodene|Menaquinol	Lipids and lipid-like molecules	"Steroids and steroid derivatives;Prenol lipids"	
C21H27FO6	HMDB0014758	Triamcinolone	Lipids and lipid-like molecules	Steroids and steroid derivatives	
C21H28N2O2	HMDB0030359	14,19-Dihydroaspidospermatine	Other		
C21H28O2	HMDB0000995|HMDB0004626|HMDB0014511|HMDB0014522|HMDB0060580	16-Dehydroprogesterone|Tetrahydrogestrinone|Levonorgestrel|Dydrogesterone|Ethisterone	Lipids and lipid-like molecules	Steroids and steroid derivatives	"Steroids and steroid derivatives;Prenol lipids"
C21H28O6	HMDB0000332|HMDB0031932|HMDB0039557|HMDB0061016	"18-Oxocortisol|11,12,14-Trihydroxy-7-methoxy-8,11,13-abietatrien-20,6-olide|12alpha-Hydroxy-13,18-dehydroparain|""16&alpha"	"-hydroxyprednisolone"""	Lipids and lipid-like molecules	
C21H30O2	HMDB0014613|HMDB0001830|HMDB0013121|HMDB0031924|HMDB0038533|HMDB0041865|HMDB0062521	Dronabinol|Progesterone|7-Dehydropregnenolone|4-Nerolidylcatechol|Cardoltriene|delta9-Tetrahydrocannabinol|pregn-5-ene-3,20-dione	Lipids and lipid-like molecules	";Steroids and steroid derivatives;Prenol lipids;NA"	
C21H30O4	HMDB0000015|HMDB0001547|HMDB0004030|HMDB0006756|HMDB0012612|HMDB0012849|HMDB0029476|HMDB0035130|HMDB0036624|HMDB0037378|HMDB0038031	Cortexolone|Corticosterone|21-Deoxycortisol|21-Hydroxy-5b-pregnane-3,11,20-trione|19-Hydroxydeoxycorticosterone|7'-Carboxy-alpha-tocotrienol|[10]-Dehydrogingerdione|Pinusolide|4-Deoxyhumulone|4-Deoxyadhumulone|12-Hydroxy-11-methoxy-8,11,13-abietatrien-20-oic acid	Lipids and lipid-like molecules	"Steroids and steroid derivatives;;Prenol lipids"	
C21H32N6O3	HMDB0014940	Alfentanil	Other		
C21H32O4	HMDB0000353|HMDB0006755|HMDB0006757|HMDB0006762|HMDB0012848|HMDB0029475|HMDB0040641|HMDB0040954|HMDB0137416	3b,15b,17a-Trihydroxy-pregnenone|3a,21-Dihydroxy-5b-pregnane-11,20-dione|11b,21-Dihydroxy-5b-pregnane-3,20-dione|17alpha,21-Dihydroxypregnenolone|7'-Carboxy-alpha-chromanol|[10]-Gingerdione|[8]-Paradyl acetate|9alpha-(3-Methyl-2E-pentenoyloxy)-4S-hydroxy-10(14)-oplopen-3-one|(4E)-6-hydroxy-1-(4-hydroxy-3-methoxyphenyl)tetradec-4-en-3-one	Lipids and lipid-like molecules	"Steroids and steroid derivatives;;Prenol lipids"	
C21H34O3	HMDB0029583|HMDB0000879|HMDB0035283|HMDB0036302|HMDB0038104|HMDB0040642	Lycopersiconol|Tetrahydrodeoxycorticosterone|1-(3,5-Dihydroxyphenyl)-2-pentadecanone|ent-16beta-Methoxy-19-kauranoic acid|Isolinderenolide|[10]-Paradol	Lipids and lipid-like molecules	"Steroids and steroid derivatives;;Prenol lipids"	
C21H36	HMDB0005943|HMDB0040180	5b-Pregnanediol|Pentadecylbenzene	Lipids and lipid-like molecules	"Steroids and steroid derivatives;"	
C21H36O2	HMDB0002156|HMDB0004025|HMDB0006013|HMDB0031009|HMDB0036741|HMDB0060409	3a,20b-Pregnanediol|Pregnanediol|7a,17-dimethyl-5b-Androstane-3a,17b-diol|Adipostatin A|1-Hydroxy-2,12,15-heneicosatrien-4-one|5alpha-Pregnane-3alpha,20alpha-diol	Lipids and lipid-like molecules	"Steroids and steroid derivatives;;Fatty Acyls"	
